trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
3_12_301,intermediate_case2,intermediate_case2/3_12_301.txt,3,B,"[[6, 6], [10, 1], [2, 4]]","[125, 9, 73]","[[4, 6], [9, 4], [7, 5]]","[123, 80, 102]","[[4, 4], [10, 2], [7, 3]]","[75, 33, 54]","[[5, 6], [10, 3], [8, 5]]","[124, 57, 103]"
3_12_302,intermediate_case2,intermediate_case2/3_12_302.txt,3,C,"[[12, 2], [6, 6], [3, 10]]","[35, 125, 218]","[[8, 1], [5, 4], [7, 5]]","[7, 76, 102]","[[8, 1], [3, 2], [6, 1]]","[7, 26, 5]","[[8, 1], [2, 3], [5, 2]]","[7, 49, 28]"
3_12_303,intermediate_case2,intermediate_case2/3_12_303.txt,3,D,"[[7, 12], [2, 9], [6, 6]]","[270, 193, 125]","[[3, 10], [3, 12], [3, 11]]","[218, 266, 242]","[[3, 9], [3, 10], [3, 10]]","[194, 218, 218]","[[3, 10], [3, 11], [3, 11]]","[218, 242, 242]"
3_12_306,intermediate_case2,intermediate_case2/3_12_306.txt,3,B,"[[8, 1], [5, 3], [6, 6]]","[7, 52, 125]","[[6, 3], [1, 1], [4, 2]]","[53, 0, 27]","[[8, 4], [4, 2], [6, 3]]","[79, 27, 53]","[[7, 2], [1, 1], [4, 1]]","[30, 0, 3]"
3_12_307,intermediate_case2,intermediate_case2/3_12_307.txt,3,A,"[[9, 8], [10, 5], [10, 7]]","[176, 105, 153]","[[6, 6], [10, 5], [2, 3]]","[125, 105, 49]","[[8, 6], [10, 5], [7, 6]]","[127, 105, 126]","[[9, 7], [10, 4], [10, 6]]","[152, 81, 129]"
3_12_308,intermediate_case2,intermediate_case2/3_12_308.txt,3,A,"[[5, 4], [1, 8], [3, 6]]","[76, 168, 122]","[[9, 2], [6, 6], [11, 7]]","[32, 125, 154]","[[7, 3], [4, 7], [6, 5]]","[54, 147, 101]","[[6, 3], [2, 7], [4, 5]]","[53, 145, 99]"
3_12_309,intermediate_case2,intermediate_case2/3_12_309.txt,3,B,"[[5, 4], [3, 7], [6, 6]]","[76, 146, 125]","[[2, 4], [6, 7], [4, 6]]","[73, 149, 123]","[[5, 3], [6, 7], [6, 5]]","[52, 149, 101]","[[3, 3], [7, 8], [5, 6]]","[50, 174, 124]"
3_12_31,intermediate_case2,intermediate_case2/3_12_31.txt,3,A,"[[4, 1], [2, 7], [3, 4]]","[3, 145, 74]","[[6, 6], [3, 5], [5, 8]]","[125, 98, 172]","[[7, 2], [3, 6], [5, 4]]","[30, 122, 76]","[[5, 2], [2, 6], [4, 4]]","[28, 121, 75]"
3_12_310,intermediate_case2,intermediate_case2/3_12_310.txt,3,D,"[[6, 6], [7, 8], [1, 6]]","[125, 174, 120]","[[4, 4], [6, 8], [5, 6]]","[75, 173, 124]","[[3, 2], [7, 11], [5, 7]]","[26, 246, 148]","[[4, 3], [8, 12], [6, 8]]","[51, 271, 173]"
3_12_311,intermediate_case2,intermediate_case2/3_12_311.txt,3,B,"[[12, 3], [6, 6], [3, 8]]","[59, 125, 170]","[[8, 6], [7, 9], [8, 8]]","[127, 198, 175]","[[11, 4], [6, 10], [8, 7]]","[82, 221, 151]","[[9, 6], [8, 8], [9, 7]]","[128, 175, 152]"
3_12_312,intermediate_case2,intermediate_case2/3_12_312.txt,3,A,"[[6, 9], [1, 12], [4, 11]]","[197, 264, 243]","[[8, 9], [2, 10], [6, 6]]","[199, 217, 125]","[[6, 9], [3, 12], [5, 11]]","[197, 266, 244]","[[6, 10], [2, 12], [4, 12]]","[221, 265, 267]"
3_12_313,intermediate_case2,intermediate_case2/3_12_313.txt,3,A,"[[3, 10], [4, 10], [4, 10]]","[218, 219, 219]","[[6, 6], [4, 10], [9, 6]]","[125, 219, 128]","[[2, 7], [6, 12], [4, 10]]","[145, 269, 219]","[[4, 9], [5, 11], [5, 10]]","[195, 244, 220]"
3_12_314,intermediate_case2,intermediate_case2/3_12_314.txt,3,D,"[[6, 7], [6, 6], [11, 7]]","[149, 125, 154]","[[4, 7], [6, 6], [6, 7]]","[147, 125, 149]","[[1, 7], [7, 6], [4, 7]]","[144, 126, 147]","[[2, 8], [6, 6], [4, 7]]","[169, 125, 147]"
3_12_315,intermediate_case2,intermediate_case2/3_12_315.txt,3,C,"[[4, 10], [2, 12], [6, 6]]","[219, 265, 125]","[[7, 10], [4, 12], [6, 11]]","[222, 267, 245]","[[6, 10], [3, 9], [5, 10]]","[221, 194, 220]","[[7, 10], [3, 10], [5, 10]]","[222, 218, 220]"
3_12_316,intermediate_case2,intermediate_case2/3_12_316.txt,3,A,"[[7, 5], [12, 7], [10, 6]]","[102, 155, 129]","[[6, 6], [9, 7], [11, 12]]","[125, 152, 274]","[[6, 6], [10, 5], [8, 7]]","[125, 105, 151]","[[8, 5], [11, 6], [10, 6]]","[103, 130, 129]"
3_12_317,intermediate_case2,intermediate_case2/3_12_317.txt,3,D,"[[11, 8], [6, 6], [4, 3]]","[178, 125, 51]","[[12, 8], [6, 5], [9, 7]]","[179, 101, 152]","[[12, 12], [7, 4], [10, 8]]","[275, 78, 177]","[[11, 12], [8, 4], [10, 9]]","[274, 79, 201]"
3_12_318,intermediate_case2,intermediate_case2/3_12_318.txt,3,C,"[[3, 9], [3, 12], [6, 6]]","[194, 266, 125]","[[4, 8], [7, 11], [6, 10]]","[171, 246, 221]","[[6, 7], [4, 8], [5, 8]]","[149, 171, 172]","[[6, 6], [5, 9], [6, 8]]","[125, 196, 173]"
3_12_319,intermediate_case2,intermediate_case2/3_12_319.txt,3,C,"[[6, 6], [11, 3], [10, 3]]","[125, 58, 57]","[[7, 7], [10, 4], [9, 6]]","[150, 81, 128]","[[12, 6], [9, 5], [11, 6]]","[131, 104, 130]","[[11, 5], [8, 5], [10, 5]]","[106, 103, 105]"
3_12_32,intermediate_case2,intermediate_case2/3_12_32.txt,3,B,"[[4, 6], [6, 6], [3, 4]]","[123, 125, 74]","[[4, 8], [9, 9], [7, 9]]","[171, 200, 198]","[[6, 6], [10, 8], [8, 7]]","[125, 177, 151]","[[4, 7], [9, 8], [7, 8]]","[147, 176, 174]"
3_12_320,intermediate_case2,intermediate_case2/3_12_320.txt,3,D,"[[4, 11], [6, 6], [11, 4]]","[243, 125, 82]","[[5, 12], [7, 6], [6, 9]]","[268, 126, 197]","[[4, 9], [4, 8], [4, 9]]","[195, 171, 195]","[[4, 8], [3, 8], [4, 8]]","[171, 170, 171]"
3_12_321,intermediate_case2,intermediate_case2/3_12_321.txt,3,A,"[[4, 12], [11, 1], [8, 7]]","[267, 10, 151]","[[5, 9], [9, 2], [6, 6]]","[196, 32, 125]","[[3, 11], [11, 2], [7, 7]]","[242, 34, 150]","[[3, 12], [10, 1], [7, 7]]","[266, 9, 150]"
3_12_322,intermediate_case2,intermediate_case2/3_12_322.txt,3,A,"[[7, 7], [8, 11], [8, 9]]","[150, 247, 199]","[[6, 6], [8, 11], [5, 11]]","[125, 247, 244]","[[6, 6], [6, 12], [6, 9]]","[125, 269, 197]","[[6, 8], [8, 12], [7, 10]]","[173, 271, 222]"
3_12_323,intermediate_case2,intermediate_case2/3_12_323.txt,3,B,"[[6, 9], [6, 6], [3, 7]]","[197, 125, 146]","[[7, 11], [5, 2], [6, 7]]","[246, 28, 149]","[[3, 11], [8, 4], [6, 8]]","[242, 79, 173]","[[6, 10], [6, 3], [6, 7]]","[221, 53, 149]"
3_12_325,intermediate_case2,intermediate_case2/3_12_325.txt,3,D,"[[6, 6], [8, 3], [6, 9]]","[125, 55, 197]","[[6, 4], [8, 3], [7, 4]]","[77, 55, 78]","[[7, 3], [9, 4], [8, 4]]","[54, 80, 79]","[[6, 3], [8, 5], [7, 4]]","[53, 103, 78]"
3_12_326,intermediate_case2,intermediate_case2/3_12_326.txt,3,D,"[[12, 11], [6, 6], [2, 5]]","[251, 125, 97]","[[12, 10], [4, 4], [7, 7]]","[227, 75, 150]","[[9, 9], [5, 2], [7, 6]]","[200, 28, 126]","[[9, 8], [6, 3], [8, 6]]","[176, 53, 127]"
3_12_327,intermediate_case2,intermediate_case2/3_12_327.txt,3,D,"[[3, 12], [9, 7], [6, 6]]","[266, 152, 125]","[[2, 10], [9, 6], [6, 8]]","[217, 128, 173]","[[2, 8], [11, 3], [7, 6]]","[169, 58, 126]","[[1, 7], [12, 4], [7, 6]]","[144, 83, 126]"
3_12_328,intermediate_case2,intermediate_case2/3_12_328.txt,3,C,"[[6, 6], [6, 8], [1, 3]]","[125, 173, 48]","[[5, 4], [9, 7], [6, 6]]","[76, 152, 125]","[[3, 6], [10, 7], [7, 7]]","[122, 153, 150]","[[2, 5], [9, 7], [6, 6]]","[97, 152, 125]"
3_12_329,intermediate_case2,intermediate_case2/3_12_329.txt,3,B,"[[1, 7], [6, 6], [11, 5]]","[144, 125, 106]","[[3, 5], [3, 3], [3, 4]]","[98, 50, 74]","[[2, 8], [4, 5], [6, 7]]","[169, 99, 149]","[[2, 5], [4, 4], [3, 5]]","[97, 75, 98]"
3_12_33,intermediate_case2,intermediate_case2/3_12_33.txt,3,C,"[[12, 8], [8, 10], [6, 6]]","[179, 223, 125]","[[9, 10], [6, 11], [8, 11]]","[224, 245, 247]","[[5, 10], [6, 9], [6, 10]]","[220, 197, 221]","[[6, 9], [5, 10], [6, 10]]","[197, 220, 221]"
3_12_330,intermediate_case2,intermediate_case2/3_12_330.txt,3,D,"[[6, 1], [2, 2], [6, 6]]","[5, 25, 125]","[[7, 3], [1, 5], [4, 4]]","[54, 96, 75]","[[9, 3], [2, 8], [5, 6]]","[56, 169, 124]","[[10, 2], [3, 9], [6, 6]]","[33, 194, 125]"
3_12_333,intermediate_case2,intermediate_case2/3_12_333.txt,3,A,"[[1, 12], [9, 6], [5, 9]]","[264, 128, 196]","[[1, 12], [11, 2], [6, 6]]","[264, 34, 125]","[[2, 12], [11, 4], [7, 9]]","[265, 82, 198]","[[1, 12], [10, 6], [6, 9]]","[264, 129, 197]"
3_12_334,intermediate_case2,intermediate_case2/3_12_334.txt,3,A,"[[11, 6], [8, 9], [10, 8]]","[130, 199, 177]","[[6, 6], [10, 12], [9, 7]]","[125, 273, 152]","[[8, 7], [11, 11], [10, 9]]","[151, 250, 201]","[[10, 6], [9, 9], [10, 8]]","[129, 200, 177]"
3_12_337,intermediate_case2,intermediate_case2/3_12_337.txt,3,A,"[[4, 6], [9, 9], [7, 8]]","[123, 200, 174]","[[6, 6], [9, 12], [2, 11]]","[125, 272, 241]","[[4, 7], [10, 12], [7, 10]]","[147, 273, 222]","[[5, 6], [8, 9], [7, 8]]","[124, 199, 174]"
3_12_338,intermediate_case2,intermediate_case2/3_12_338.txt,3,C,"[[3, 2], [6, 6], [6, 10]]","[26, 125, 221]","[[3, 1], [8, 5], [6, 5]]","[2, 103, 101]","[[2, 3], [11, 3], [7, 3]]","[49, 58, 54]","[[3, 3], [12, 4], [8, 4]]","[50, 83, 79]"
3_12_34,intermediate_case2,intermediate_case2/3_12_34.txt,3,D,"[[6, 6], [4, 4], [10, 2]]","[125, 75, 33]","[[6, 5], [4, 1], [5, 3]]","[101, 3, 52]","[[6, 3], [3, 1], [5, 2]]","[53, 2, 28]","[[7, 3], [4, 2], [6, 3]]","[54, 27, 53]"
3_12_340,intermediate_case2,intermediate_case2/3_12_340.txt,3,A,"[[2, 1], [5, 8], [4, 5]]","[1, 172, 99]","[[6, 6], [4, 8], [3, 5]]","[125, 171, 98]","[[3, 3], [2, 7], [3, 5]]","[50, 145, 98]","[[3, 2], [5, 7], [4, 5]]","[26, 148, 99]"
3_12_341,intermediate_case2,intermediate_case2/3_12_341.txt,3,C,"[[11, 5], [6, 6], [11, 7]]","[106, 125, 154]","[[11, 1], [1, 8], [6, 5]]","[10, 168, 101]","[[12, 3], [2, 7], [7, 5]]","[59, 145, 102]","[[12, 2], [2, 8], [8, 5]]","[35, 169, 103]"
3_12_342,intermediate_case2,intermediate_case2/3_12_342.txt,3,A,"[[5, 12], [7, 4], [6, 9]]","[268, 78, 197]","[[8, 12], [6, 1], [6, 6]]","[271, 5, 125]","[[8, 11], [5, 1], [7, 6]]","[247, 4, 126]","[[4, 12], [7, 3], [6, 8]]","[267, 54, 173]"
3_12_343,intermediate_case2,intermediate_case2/3_12_343.txt,3,C,"[[6, 6], [10, 4], [3, 10]]","[125, 81, 218]","[[4, 7], [11, 3], [8, 5]]","[147, 58, 103]","[[6, 7], [11, 5], [9, 6]]","[149, 106, 128]","[[5, 7], [12, 5], [9, 6]]","[148, 107, 128]"
3_12_344,intermediate_case2,intermediate_case2/3_12_344.txt,3,C,"[[8, 12], [6, 6], [1, 11]]","[271, 125, 240]","[[11, 10], [5, 5], [6, 8]]","[226, 100, 173]","[[12, 8], [7, 2], [10, 5]]","[179, 30, 105]","[[12, 9], [7, 3], [10, 6]]","[203, 54, 129]"
3_12_345,intermediate_case2,intermediate_case2/3_12_345.txt,3,B,"[[8, 10], [8, 7], [6, 6]]","[223, 151, 125]","[[9, 12], [8, 7], [9, 10]]","[272, 151, 224]","[[6, 9], [8, 10], [7, 10]]","[197, 223, 222]","[[9, 12], [8, 6], [9, 10]]","[272, 127, 224]"
3_12_346,intermediate_case2,intermediate_case2/3_12_346.txt,3,B,"[[6, 6], [5, 12], [3, 5]]","[125, 268, 98]","[[8, 7], [8, 12], [8, 10]]","[151, 271, 223]","[[5, 6], [3, 11], [4, 9]]","[124, 242, 195]","[[9, 6], [7, 12], [8, 10]]","[128, 270, 223]"
3_12_347,intermediate_case2,intermediate_case2/3_12_347.txt,3,D,"[[3, 7], [6, 6], [6, 5]]","[146, 125, 101]","[[4, 8], [6, 7], [5, 8]]","[171, 149, 172]","[[1, 6], [10, 8], [6, 7]]","[120, 177, 149]","[[2, 5], [11, 8], [7, 7]]","[97, 178, 150]"
3_12_348,intermediate_case2,intermediate_case2/3_12_348.txt,3,A,"[[6, 7], [5, 11], [6, 9]]","[149, 244, 197]","[[7, 10], [6, 12], [6, 6]]","[222, 269, 125]","[[7, 7], [4, 11], [6, 9]]","[150, 243, 197]","[[7, 6], [4, 12], [6, 10]]","[126, 267, 221]"
3_12_35,intermediate_case2,intermediate_case2/3_12_35.txt,3,D,"[[10, 10], [6, 6], [12, 9]]","[225, 125, 203]","[[12, 9], [3, 5], [8, 7]]","[203, 98, 151]","[[10, 9], [1, 5], [6, 7]]","[201, 96, 149]","[[9, 9], [1, 5], [5, 7]]","[200, 96, 148]"
3_12_350,intermediate_case2,intermediate_case2/3_12_350.txt,3,A,"[[8, 2], [6, 7], [7, 5]]","[31, 149, 102]","[[8, 4], [6, 6], [1, 4]]","[79, 125, 72]","[[10, 2], [5, 4], [6, 3]]","[33, 76, 53]","[[9, 2], [7, 6], [8, 4]]","[32, 126, 79]"
3_12_351,intermediate_case2,intermediate_case2/3_12_351.txt,3,D,"[[5, 12], [2, 4], [6, 6]]","[268, 73, 125]","[[3, 11], [2, 2], [3, 7]]","[242, 25, 146]","[[3, 11], [1, 3], [2, 7]]","[242, 48, 145]","[[2, 12], [1, 4], [2, 8]]","[265, 72, 169]"
3_12_352,intermediate_case2,intermediate_case2/3_12_352.txt,3,A,"[[1, 11], [6, 6], [4, 9]]","[240, 125, 195]","[[6, 6], [3, 3], [3, 11]]","[125, 50, 242]","[[3, 8], [5, 1], [4, 6]]","[170, 4, 123]","[[2, 11], [5, 5], [4, 8]]","[241, 100, 171]"
3_12_353,intermediate_case2,intermediate_case2/3_12_353.txt,3,C,"[[3, 2], [6, 6], [2, 7]]","[26, 125, 145]","[[4, 4], [6, 5], [5, 5]]","[75, 101, 100]","[[4, 5], [7, 3], [6, 4]]","[99, 54, 77]","[[5, 6], [8, 3], [7, 5]]","[124, 55, 102]"
3_12_354,intermediate_case2,intermediate_case2/3_12_354.txt,3,B,"[[12, 4], [8, 8], [6, 6]]","[83, 175, 125]","[[12, 3], [12, 5], [12, 4]]","[59, 107, 83]","[[10, 2], [10, 5], [10, 4]]","[33, 105, 81]","[[12, 2], [11, 4], [12, 3]]","[35, 82, 59]"
3_12_355,intermediate_case2,intermediate_case2/3_12_355.txt,3,C,"[[6, 6], [9, 5], [11, 6]]","[125, 104, 130]","[[11, 3], [6, 5], [9, 4]]","[58, 101, 80]","[[9, 2], [5, 6], [7, 4]]","[32, 124, 78]","[[9, 1], [6, 5], [8, 3]]","[8, 101, 55]"
3_12_356,intermediate_case2,intermediate_case2/3_12_356.txt,3,B,"[[1, 10], [6, 6], [8, 11]]","[216, 125, 247]","[[4, 9], [10, 11], [7, 10]]","[195, 249, 222]","[[3, 8], [9, 8], [6, 8]]","[170, 176, 173]","[[3, 9], [10, 10], [7, 10]]","[194, 225, 222]"
3_12_357,intermediate_case2,intermediate_case2/3_12_357.txt,3,A,"[[8, 8], [5, 7], [7, 8]]","[175, 148, 174]","[[10, 10], [5, 4], [6, 6]]","[225, 76, 125]","[[9, 10], [8, 6], [9, 8]]","[224, 127, 176]","[[8, 9], [5, 6], [7, 8]]","[199, 124, 174]"
3_12_358,intermediate_case2,intermediate_case2/3_12_358.txt,3,B,"[[6, 6], [7, 2], [2, 4]]","[125, 30, 73]","[[5, 9], [3, 2], [4, 6]]","[196, 26, 123]","[[5, 8], [6, 1], [6, 5]]","[172, 5, 101]","[[4, 9], [4, 3], [4, 6]]","[195, 51, 123]"
3_12_359,intermediate_case2,intermediate_case2/3_12_359.txt,3,C,"[[5, 4], [6, 6], [8, 9]]","[76, 125, 199]","[[7, 7], [5, 7], [6, 7]]","[150, 148, 149]","[[6, 6], [6, 6], [6, 6]]","[125, 125, 125]","[[5, 7], [7, 6], [6, 7]]","[148, 126, 149]"
3_12_36,intermediate_case2,intermediate_case2/3_12_36.txt,3,C,"[[9, 4], [2, 11], [6, 6]]","[80, 241, 125]","[[12, 6], [2, 11], [7, 9]]","[131, 241, 198]","[[10, 8], [2, 10], [6, 9]]","[177, 217, 197]","[[10, 7], [2, 11], [6, 9]]","[153, 241, 197]"
3_12_360,intermediate_case2,intermediate_case2/3_12_360.txt,3,B,"[[2, 8], [6, 2], [6, 6]]","[169, 29, 125]","[[7, 10], [3, 3], [5, 7]]","[222, 50, 148]","[[5, 7], [6, 2], [6, 5]]","[148, 29, 101]","[[6, 9], [4, 3], [5, 6]]","[197, 51, 124]"
3_12_361,intermediate_case2,intermediate_case2/3_12_361.txt,3,A,"[[4, 4], [1, 9], [2, 7]]","[75, 192, 145]","[[6, 6], [3, 7], [8, 9]]","[125, 146, 199]","[[4, 3], [2, 9], [3, 6]]","[51, 193, 122]","[[3, 4], [1, 9], [2, 7]]","[74, 192, 145]"
3_12_362,intermediate_case2,intermediate_case2/3_12_362.txt,3,D,"[[12, 1], [6, 6], [11, 12]]","[11, 125, 274]","[[9, 3], [5, 5], [7, 7]]","[56, 100, 150]","[[9, 1], [5, 5], [7, 3]]","[8, 100, 54]","[[10, 1], [5, 4], [8, 2]]","[9, 76, 31]"
3_12_363,intermediate_case2,intermediate_case2/3_12_363.txt,3,C,"[[11, 2], [12, 10], [6, 6]]","[34, 227, 125]","[[11, 3], [10, 10], [11, 7]]","[58, 225, 154]","[[9, 2], [9, 10], [9, 6]]","[32, 224, 128]","[[10, 1], [9, 11], [10, 6]]","[9, 248, 129]"
3_12_364,intermediate_case2,intermediate_case2/3_12_364.txt,3,C,"[[6, 6], [3, 1], [11, 9]]","[125, 2, 202]","[[8, 8], [5, 2], [7, 5]]","[175, 28, 102]","[[7, 7], [4, 2], [6, 5]]","[150, 27, 101]","[[8, 8], [3, 1], [6, 4]]","[175, 2, 77]"
3_12_365,intermediate_case2,intermediate_case2/3_12_365.txt,3,B,"[[4, 7], [6, 6], [9, 6]]","[147, 125, 128]","[[8, 5], [3, 8], [6, 7]]","[103, 170, 149]","[[6, 5], [6, 9], [6, 7]]","[101, 197, 149]","[[7, 4], [2, 8], [5, 6]]","[78, 169, 124]"
3_12_366,intermediate_case2,intermediate_case2/3_12_366.txt,3,B,"[[1, 1], [10, 11], [6, 6]]","[0, 249, 125]","[[3, 5], [2, 10], [3, 8]]","[98, 217, 170]","[[1, 3], [5, 12], [3, 8]]","[48, 268, 170]","[[2, 4], [2, 11], [2, 8]]","[73, 241, 169]"
3_12_367,intermediate_case2,intermediate_case2/3_12_367.txt,3,B,"[[6, 6], [10, 10], [5, 8]]","[125, 225, 172]","[[3, 3], [12, 9], [8, 6]]","[50, 203, 127]","[[5, 4], [12, 12], [9, 9]]","[76, 275, 200]","[[4, 2], [12, 10], [9, 6]]","[27, 227, 128]"
3_12_368,intermediate_case2,intermediate_case2/3_12_368.txt,3,A,"[[12, 9], [9, 7], [11, 8]]","[203, 152, 178]","[[12, 6], [6, 6], [3, 1]]","[131, 125, 2]","[[11, 6], [7, 4], [8, 5]]","[130, 78, 103]","[[12, 8], [9, 6], [11, 7]]","[179, 128, 154]"
3_12_369,intermediate_case2,intermediate_case2/3_12_369.txt,3,D,"[[1, 7], [7, 12], [6, 6]]","[144, 270, 125]","[[4, 6], [9, 11], [7, 9]]","[123, 248, 198]","[[3, 7], [8, 9], [6, 8]]","[146, 199, 173]","[[2, 8], [8, 10], [5, 9]]","[169, 223, 196]"
3_12_37,intermediate_case2,intermediate_case2/3_12_37.txt,3,C,"[[6, 6], [1, 12], [2, 7]]","[125, 264, 145]","[[7, 4], [1, 11], [4, 8]]","[78, 240, 171]","[[6, 3], [1, 9], [3, 6]]","[53, 192, 122]","[[7, 2], [1, 9], [4, 6]]","[30, 192, 123]"
3_12_370,intermediate_case2,intermediate_case2/3_12_370.txt,3,B,"[[6, 6], [3, 6], [4, 6]]","[125, 122, 123]","[[5, 7], [1, 9], [3, 8]]","[148, 192, 170]","[[6, 5], [4, 7], [5, 6]]","[101, 147, 124]","[[5, 6], [1, 9], [3, 8]]","[124, 192, 170]"
3_12_371,intermediate_case2,intermediate_case2/3_12_371.txt,3,C,"[[9, 5], [6, 6], [2, 7]]","[104, 125, 145]","[[10, 5], [4, 3], [7, 4]]","[105, 51, 78]","[[10, 2], [4, 3], [7, 3]]","[33, 51, 54]","[[9, 3], [4, 2], [7, 3]]","[56, 27, 54]"
3_12_373,intermediate_case2,intermediate_case2/3_12_373.txt,3,C,"[[6, 6], [10, 11], [7, 2]]","[125, 249, 30]","[[6, 5], [11, 12], [9, 7]]","[101, 274, 152]","[[8, 4], [11, 11], [10, 8]]","[79, 250, 177]","[[7, 5], [12, 12], [10, 9]]","[102, 275, 201]"
3_12_374,intermediate_case2,intermediate_case2/3_12_374.txt,3,D,"[[1, 7], [6, 6], [2, 3]]","[144, 125, 49]","[[6, 7], [5, 5], [6, 6]]","[149, 100, 125]","[[3, 9], [3, 7], [3, 8]]","[194, 146, 170]","[[4, 10], [2, 8], [3, 9]]","[219, 169, 194]"
3_12_376,intermediate_case2,intermediate_case2/3_12_376.txt,3,A,"[[4, 8], [6, 5], [5, 7]]","[171, 101, 148]","[[6, 6], [7, 1], [2, 5]]","[125, 6, 97]","[[5, 7], [7, 4], [6, 6]]","[148, 78, 125]","[[3, 8], [5, 5], [4, 7]]","[170, 100, 147]"
3_12_377,intermediate_case2,intermediate_case2/3_12_377.txt,3,D,"[[12, 10], [6, 6], [12, 2]]","[227, 125, 35]","[[9, 11], [8, 6], [9, 7]]","[248, 127, 152]","[[5, 12], [8, 7], [7, 10]]","[268, 151, 222]","[[5, 12], [9, 7], [7, 10]]","[268, 152, 222]"
3_12_378,intermediate_case2,intermediate_case2/3_12_378.txt,3,D,"[[9, 4], [1, 6], [6, 6]]","[80, 120, 125]","[[9, 5], [2, 5], [6, 5]]","[104, 97, 101]","[[10, 7], [4, 7], [7, 7]]","[153, 147, 150]","[[9, 8], [3, 7], [6, 8]]","[176, 146, 173]"
3_12_379,intermediate_case2,intermediate_case2/3_12_379.txt,3,D,"[[6, 6], [12, 12], [8, 2]]","[125, 275, 31]","[[8, 7], [12, 11], [10, 7]]","[151, 251, 153]","[[6, 8], [11, 12], [9, 10]]","[173, 274, 224]","[[7, 9], [10, 12], [9, 11]]","[198, 273, 248]"
3_12_38,intermediate_case2,intermediate_case2/3_12_38.txt,3,D,"[[9, 10], [6, 6], [3, 1]]","[224, 125, 2]","[[10, 9], [4, 3], [7, 6]]","[201, 51, 126]","[[12, 11], [3, 1], [8, 6]]","[251, 2, 127]","[[11, 10], [4, 2], [8, 6]]","[226, 27, 127]"
3_12_381,intermediate_case2,intermediate_case2/3_12_381.txt,3,C,"[[2, 2], [12, 1], [6, 6]]","[25, 11, 125]","[[5, 3], [10, 1], [8, 2]]","[52, 9, 31]","[[6, 3], [12, 5], [10, 4]]","[53, 107, 81]","[[5, 2], [12, 4], [9, 3]]","[28, 83, 56]"
3_12_384,intermediate_case2,intermediate_case2/3_12_384.txt,3,D,"[[10, 3], [4, 2], [6, 6]]","[57, 27, 125]","[[7, 3], [7, 1], [7, 2]]","[54, 6, 30]","[[6, 1], [6, 3], [6, 2]]","[5, 53, 29]","[[5, 1], [5, 3], [5, 2]]","[4, 52, 28]"
3_12_385,intermediate_case2,intermediate_case2/3_12_385.txt,3,A,"[[5, 10], [10, 11], [8, 11]]","[220, 249, 247]","[[6, 6], [10, 7], [9, 3]]","[125, 153, 56]","[[8, 7], [8, 8], [8, 8]]","[151, 175, 175]","[[4, 10], [9, 11], [7, 11]]","[219, 248, 246]"
3_12_386,intermediate_case2,intermediate_case2/3_12_386.txt,3,C,"[[8, 5], [6, 6], [8, 6]]","[103, 125, 127]","[[7, 3], [7, 8], [7, 6]]","[54, 174, 126]","[[9, 6], [6, 5], [8, 6]]","[128, 101, 127]","[[8, 5], [7, 5], [8, 5]]","[103, 102, 103]"
3_12_387,intermediate_case2,intermediate_case2/3_12_387.txt,3,B,"[[3, 4], [4, 4], [6, 6]]","[74, 75, 125]","[[3, 2], [7, 6], [5, 4]]","[26, 126, 76]","[[3, 5], [9, 7], [6, 6]]","[98, 152, 125]","[[3, 3], [7, 7], [5, 5]]","[50, 150, 100]"
3_12_388,intermediate_case2,intermediate_case2/3_12_388.txt,3,A,"[[3, 2], [12, 10], [8, 6]]","[26, 227, 127]","[[6, 6], [10, 8], [2, 10]]","[125, 177, 217]","[[6, 3], [11, 10], [7, 7]]","[53, 226, 150]","[[4, 2], [11, 11], [8, 7]]","[27, 250, 151]"
3_12_389,intermediate_case2,intermediate_case2/3_12_389.txt,3,A,"[[7, 1], [11, 7], [9, 4]]","[6, 154, 80]","[[11, 4], [6, 6], [12, 7]]","[82, 125, 155]","[[12, 3], [9, 8], [11, 6]]","[59, 176, 130]","[[8, 2], [12, 8], [10, 5]]","[31, 179, 105]"
3_12_39,intermediate_case2,intermediate_case2/3_12_39.txt,3,B,"[[5, 10], [2, 11], [6, 6]]","[220, 241, 125]","[[4, 10], [1, 10], [3, 10]]","[219, 216, 218]","[[5, 9], [3, 10], [4, 10]]","[196, 218, 219]","[[4, 11], [1, 9], [3, 10]]","[243, 192, 218]"
3_12_390,intermediate_case2,intermediate_case2/3_12_390.txt,3,C,"[[1, 11], [1, 4], [6, 6]]","[240, 72, 125]","[[2, 12], [1, 7], [2, 10]]","[265, 144, 217]","[[3, 10], [1, 10], [2, 10]]","[218, 216, 217]","[[2, 11], [1, 9], [1, 10]]","[241, 192, 216]"
3_12_392,intermediate_case2,intermediate_case2/3_12_392.txt,3,A,"[[7, 3], [1, 8], [4, 6]]","[54, 168, 123]","[[9, 2], [6, 6], [6, 11]]","[32, 125, 245]","[[5, 1], [4, 10], [5, 6]]","[4, 219, 124]","[[8, 3], [2, 9], [5, 6]]","[55, 193, 124]"
